Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,DOW-Price,DOW-Open,DOW-High,DOW-Low,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low,Month,Day,Year
2019-05-29,8718.591797,8755.852539,8482.728516,8659.487305,8659.487305,23473479966.0,271.779053,273.756287,263.0914,269.455688,269.455688,9819132174,0.003149,0.003151,0.003083,0.003127,0.003127,74244761,2783.00,2790.20,2792.00,2766.10,7547.31,7553.02,7581.11,7503.94,25126.41,25231.46,25231.46,24938.24,1281.00,1278.90,1285.20,1278.40,58.81,59.07,59.14,56.88,5,29,2019
2019-05-30,8661.760742,9008.314453,8221.273438,8319.472656,8319.472656,29246528551.0,269.55188,287.20163,247.348602,255.858948,255.858948,13604268584,0.003125,0.0036,0.00311,0.003258,0.003258,97252491,2788.90,2786.90,2799.00,2776.70,7567.72,7565.46,7595.90,7527.66,25169.88,25139.94,25218.54,25066.75,1292.40,1285.10,1293.90,1279.20,56.59,59.12,59.7,56.33,5,30,2019
2019-05-31,8320.286133,8586.65918,8172.550781,8574.501953,8574.501953,25365190957.0,256.015259,268.659943,249.111847,268.113556,268.113556,11255023515,0.003256,0.003443,0.003172,0.003441,0.003441,85204091,2752.10,2766.20,2769.00,2750.50,7453.15,7470.95,7506.86,7448.23,24815.04,25046.31,25046.31,24809.51,1311.10,1293.20,1311.90,1292.50,53.5,56.46,56.61,53.05,5,31,2019
2019-06-01,8573.839844,8625.600586,8481.578125,8564.016602,8564.016602,22488303544.0,268.43335,273.557983,263.524597,265.391266,265.391266,9942869852,0.003443,0.00352,0.00336,0.003419,0.003419,85093279,2752.10,2766.20,2769.00,2750.50,7453.15,7470.95,7506.86,7448.23,24815.04,25046.31,25046.31,24809.51,1311.10,1293.20,1311.90,1292.50,53.5,56.46,56.61,53.05,6,1,2019
2019-06-02,8565.473633,8809.303711,8561.235352,8742.958008,8742.958008,20266216022.0,265.512726,272.80722,265.04187,270.225525,270.225525,8744111713,0.003426,0.003448,0.003342,0.003398,0.003398,74315769,2752.10,2766.20,2769.00,2750.50,7453.15,7470.95,7506.86,7448.23,24815.04,25046.31,25046.31,24809.51,1311.10,1293.20,1311.90,1292.50,53.5,56.46,56.61,53.05,6,2,2019
2019-06-03,8741.74707,8743.5,8204.185547,8208.995117,8208.995117,22004511436.0,270.088562,270.334106,251.262192,252.607925,252.607925,9375712917,0.003397,0.00341,0.003194,0.003198,0.003198,76817043,2744.40,2751.50,2763.10,2728.80,7333.02,7441.22,7457.66,7292.22,24819.78,24830.16,24935.21,24680.57,1327.90,1312.50,1333.00,1310.90,53.25,53.42,54.63,52.11,6,3,2019
2019-06-04,8210.985352,8210.985352,7564.48877,7707.770996,7707.770996,24609731549.0,252.511642,252.511642,236.127213,241.338791,241.338791,10132549747,0.003213,0.003213,0.002986,0.003042,0.003042,77725735,2803.30,2762.60,2804.50,2762.60,7527.12,7413.94,7529.50,7385.02,25332.18,24962.82,25343.77,24962.82,1328.70,1329.70,1334.10,1324.70,53.48,52.89,53.78,52.43,6,4,2019
2019-06-05,7704.343262,7901.849121,7668.668457,7824.231445,7824.231445,21760923463.0,241.49704,248.138138,239.983459,247.05101,247.05101,8548917062,0.003039,0.003098,0.00298,0.00307,0.00307,72561329,2826.20,2818.10,2827.30,2800.90,7575.48,7585.68,7589.47,7498.17,25539.57,25451.00,25544.66,25373.58,1333.60,1330.20,1348.90,1329.30,51.68,52.86,53.41,50.6,6,5,2019
2019-06-06,7819.633301,7937.34082,7571.471191,7822.023438,7822.023438,19474611077.0,246.925247,249.944504,238.501114,249.474335,249.474335,8265146806,0.003072,0.003124,0.003005,0.003087,0.003087,71608123,2843.50,2828.50,2852.10,2822.40,7615.55,7582.24,7634.12,7546.22,25720.66,25567.45,25800.30,25518.05,1342.70,1336.10,1344.20,1331.30,52.59,51.66,53.3,51.17,6,6,2019
2019-06-07,7826.901367,8126.15332,7788.373535,8043.951172,8043.951172,19141423231.0,249.335281,254.352295,246.5979,250.930359,250.930359,8379534528,0.003088,0.003195,0.003059,0.00311,0.00311,71288069,2873.30,2852.90,2885.00,2852.90,7742.10,7652.97,7767.02,7647.91,25983.94,25768.72,26072.75,25768.72,1346.10,1339.70,1352.70,1334.30,53.99,53.1,54.32,52.62,6,7,2019
2019-06-08,8036.774902,8076.891113,7837.61084,7954.12793,7954.12793,16522722810.0,251.249313,252.377396,243.229111,245.738098,245.738098,7225996863,0.003115,0.003191,0.003017,0.003084,0.003084,69699426,2873.30,2852.90,2885.00,2852.90,7742.10,7652.97,7767.02,7647.91,25983.94,25768.72,26072.75,25768.72,1346.10,1339.70,1352.70,1334.30,53.99,53.1,54.32,52.62,6,8,2019
2019-06-09,7949.674805,7975.974121,7583.219727,7688.077148,7688.077148,16610726547.0,245.540482,245.972824,229.257431,233.0867,233.0867,7566421456,0.003077,0.003218,0.002978,0.003012,0.003012,69438950,2873.30,2852.90,2885.00,2852.90,7742.10,7652.97,7767.02,7647.91,25983.94,25768.72,26072.75,25768.72,1346.10,1339.70,1352.70,1334.30,53.99,53.1,54.32,52.62,6,9,2019
2019-06-10,7692.284668,8031.909668,7586.730957,8000.32959,8000.32959,18689275117.0,232.830139,247.66217,229.341766,247.520126,247.520126,8141159848,0.003014,0.003135,0.002992,0.003091,0.003091,69822843,2886.70,2885.80,2904.80,2885.50,7823.17,7798.87,7895.44,7795.76,26062.68,26090.22,26210.61,26054.31,1329.30,1341.20,1341.70,1329.00,53.26,54.24,54.84,53.05,6,10,2019
2019-06-11,8004.243652,8026.394043,7772.803711,7927.714355,7927.714355,17107279932.0,247.862122,248.662582,239.825348,245.78183,245.78183,7382269700,0.00309,0.003143,0.002998,0.003058,0.003058,65070888,2885.70,2903.30,2910.60,2878.50,7822.57,7901.04,7909.99,7798.63,26048.51,26180.59,26248.67,25998.87,1331.20,1331.80,1333.80,1323.60,53.27,53.43,54.04,52.91,6,11,2019
2019-06-12,7925.434082,8196.648438,7862.359863,8145.857422,8145.857422,19034432883.0,245.925491,261.017578,244.491318,260.90329,260.90329,8645598618,0.003061,0.003094,0.003019,0.003067,0.003067,69543166,2879.80,2882.70,2888.60,2874.70,7792.72,7803.13,7819.16,7773.97,26004.83,26040.30,26082.10,25958.66,1336.80,1330.60,1342.30,1329.80,51.14,53.04,53.05,50.72,6,12,2019
2019-06-13,8145.54541,8311.567383,8087.061035,8230.923828,8230.923828,18669407147.0,260.913513,262.163116,255.596283,256.168793,256.168793,8442077836,0.003063,0.003168,0.00303,0.003074,0.003074,66973694,2891.60,2886.20,2895.20,2882.00,7837.13,7822.56,7848.36,7813.60,26106.77,26036.94,26146.91,25995.71,1343.70,1337.80,1347.00,1335.90,52.28,51.07,53.45,50.92,6,13,2019
2019-06-14,8230.898438,8710.636719,8183.393066,8693.833008,8693.833008,19831162906.0,256.179657,265.371399,254.14743,264.087463,264.087463,8676891267,0.003075,0.003142,0.003037,0.003124,0.003124,59252853,2887.00,2886.80,2894.40,2879.60,7796.66,7807.19,7819.21,7778.12,26089.61,26076.36,26162.28,25988.09,1344.50,1346.50,1362.20,1341.40,52.51,52.18,52.98,51.7,6,14,2019
2019-06-15,8689.746094,8859.12793,8618.395508,8838.375,8838.375,18371033226.0,263.934143,271.505585,262.121216,269.019318,269.019318,8126853944,0.003135,0.003204,0.003097,0.003157,0.003157,63436423,2887.00,2886.80,2894.40,2879.60,7796.66,7807.19,7819.21,7778.12,26089.61,26076.36,26162.28,25988.09,1344.50,1346.50,1362.20,1341.40,52.51,52.18,52.98,51.7,6,15,2019
2019-06-16,8841.44043,9335.867188,8814.556641,8994.488281,8994.488281,23348550311.0,268.901154,278.143188,265.535339,269.223206,269.223206,9676746453,0.003145,0.003336,0.003135,0.003186,0.003186,68789112,2887.00,2886.80,2894.40,2879.60,7796.66,7807.19,7819.21,7778.12,26089.61,26076.36,26162.28,25988.09,1344.50,1346.50,1362.20,1341.40,52.51,52.18,52.98,51.7,6,16,2019
2019-06-17,8988.923828,9416.407227,8988.923828,9320.352539,9320.352539,15562951919.0,269.090576,275.442566,268.35379,274.351105,274.351105,6009795781,0.003188,0.003225,0.003125,0.00319,0.00319,60386666,2889.70,2889.80,2897.30,2887.30,7845.02,7819.43,7865.98,7812.61,26112.53,26108.53,26165.78,26049.80,1342.90,1345.50,1347.10,1336.60,51.93,52.5,52.74,51.58,6,17,2019
2019-06-18,9335.466797,9348.374023,9004.901367,9081.762695,9081.762695,15848210536.0,274.320251,274.320251,263.14444,265.051849,265.051849,6205242504,0.003193,0.003199,0.00311,0.003125,0.003125,54908991,2917.80,2906.70,2930.80,2905.40,7953.88,7920.98,8005.21,7911.67,26465.54,26228.88,26527.19,26227.76,1350.70,1343.90,1358.50,1342.10,53.9,51.95,54.31,51.5,6,18,2019
2019-06-19,9078.727539,9299.621094,9070.395508,9273.521484,9273.521484,15546809946.0,265.056854,270.333374,264.754791,269.431793,269.431793,5516510947,0.003123,0.003154,0.003097,0.00313,0.00313,35562598,2926.50,2920.60,2931.70,2911.40,7987.32,7970.26,7998.59,7930.38,26504.00,26490.16,26569.75,26415.05,1348.80,1350.40,1366.60,1344.80,53.76,54.09,54.42,53.28,6,19,2019
2019-06-20,9273.060547,9594.419922,9232.484375,9527.160156,9527.160156,17846823784.0,269.407867,274.073517,265.500458,271.695007,271.695007,6408981097,0.003143,0.003204,0.003095,0.003161,0.003161,36102126,2954.20,2949.60,2958.10,2931.50,8051.34,8087.45,8088.88,7996.87,26753.17,26665.38,26798.63,26539.69,1396.90,1364.50,1397.70,1361.30,56.65,54.12,57.02,54.11,6,20,2019
2019-06-21,9525.074219,10144.55664,9525.074219,10144.55664,10144.55664,20624008643.0,271.743103,295.303314,271.743103,294.910278,294.910278,9331694140,0.003167,0.003251,0.003128,0.003223,0.003223,42423841,2950.50,2952.70,2964.20,2946.90,8031.71,8028.69,8073.02,8011.20,26719.13,26749.12,26907.37,26705.87,1400.10,1391.20,1415.40,1386.10,57.43,57.26,57.98,56.66,6,21,2019
2019-06-22,10175.92383,11157.3457,10107.03516,10701.69141,10701.69141,29995204861.0,295.115082,315.189728,294.728241,309.38031,309.38031,10613731255,0.003229,0.003354,0.003185,0.003279,0.003279,57373528,2950.50,2952.70,2964.20,2946.90,8031.71,8028.69,8073.02,8011.20,26719.13,26749.12,26907.37,26705.87,1400.10,1391.20,1415.40,1386.10,57.43,57.26,57.98,56.66,6,22,2019
2019-06-23,10696.69141,11246.14453,10556.0957,10855.37109,10855.37109,20998326502.0,309.416687,318.565674,305.764587,307.827789,307.827789,8161062380,0.003285,0.003496,0.00325,0.003304,0.003304,44229340,2950.50,2952.70,2964.20,2946.90,8031.71,8028.69,8073.02,8011.20,26719.13,26749.12,26907.37,26705.87,1400.10,1391.20,1415.40,1386.10,57.43,57.26,57.98,56.66,6,23,2019
2019-06-24,10853.74414,11065.89648,10610.42773,11011.10254,11011.10254,19271652365.0,307.722137,312.329346,299.55954,310.424683,310.424683,8205712062,0.003314,0.003431,0.003234,0.003368,0.003368,42747865,2945.30,2951.40,2954.90,2944.10,8005.70,8040.58,8047.56,8004.63,26727.54,26727.61,26806.52,26723.37,1418.20,1403.90,1425.10,1403.60,57.9,57.72,58.22,56.75,6,24,2019
2019-06-25,11007.20215,11790.91699,11007.20215,11790.91699,11790.91699,24879684533.0,310.678619,318.126312,307.643158,318.126312,318.126312,9641764965,0.003367,0.003395,0.00327,0.003392,0.003392,41001826,2917.40,2945.80,2946.50,2916.00,7884.72,8005.27,8007.31,7879.15,26548.22,26731.61,26752.31,26527.66,1418.70,1423.40,1442.90,1415.10,57.83,57.74,58.84,57.2,6,25,2019
2019-06-26,11778.58106,13796.48926,11755.59766,13016.23145,13016.23145,45105733173.0,317.992584,361.398682,315.954865,336.753174,336.753174,16437084081,0.003391,0.00345,0.003252,0.003379,0.003379,64528905,2913.80,2926.10,2932.60,2913.00,7909.97,7933.93,7974.28,7903.07,26536.82,26599.42,26660.04,26536.33,1415.40,1427.20,1427.90,1405.00,59.38,58.84,59.93,58.65,6,26,2019
