Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,S&P-Price,S&P-Open,S&P-High,S&P-Low,NASDAQ-Price,NASDAQ-Open,NASDAQ-High,NASDAQ-Low,NASDAQ-Vol.,DOW-Price,DOW-Open,DOW-High,DOW-Low,DOW-Vol.,GOLD-Price,GOLD-Open,GOLD-High,GOLD-Low,OIL-Price,OIL-Open,OIL-High,OIL-Low,Month,Day,Year
2019-06-12,7925.434082,8196.648438,7862.359863,8145.857422,8145.857422,19034432883.0,245.925491,261.017578,244.491318,260.90329,260.90329,8645598618,0.003061,0.003094,0.003019,0.003067,0.003067,69543166,2879.8,2882.7,2888.6,2874.7,7792.72,7803.13,7819.16,7773.97,481740000.0,26004.83,26040.3,26082.1,25958.66,223690000.0,1336.8,1330.6,1342.3,1329.8,51.14,53.04,53.05,50.72,6,12,2019
2019-06-13,8145.54541,8311.567383,8087.061035,8230.923828,8230.923828,18669407147.0,260.913513,262.163116,255.596283,256.168793,256.168793,8442077836,0.003063,0.003168,0.00303,0.003074,0.003074,66973694,2891.6,2886.2,2895.2,2882.0,7837.13,7822.56,7848.36,7813.6,460870000.0,26106.77,26036.94,26146.91,25995.71,213400000.0,1343.7,1337.8,1347.0,1335.9,52.28,51.07,53.45,50.92,6,13,2019
2019-06-14,8230.898438,8710.636719,8183.393066,8693.833008,8693.833008,19831162906.0,256.179657,265.371399,254.14743,264.087463,264.087463,8676891267,0.003075,0.003142,0.003037,0.003124,0.003124,59252853,2887.0,2886.8,2894.4,2879.6,7796.66,7807.19,7819.21,7778.12,465370000.0,26089.61,26076.36,26162.28,25988.09,208020000.0,1344.5,1346.5,1362.2,1341.4,52.51,52.18,52.98,51.7,6,14,2019
2019-06-15,8689.746094,8859.12793,8618.395508,8838.375,8838.375,18371033226.0,263.934143,271.505585,262.121216,269.019318,269.019318,8126853944,0.003135,0.003204,0.003097,0.003157,0.003157,63436423,2887.0,2886.8,2894.4,2879.6,7796.66,7807.19,7819.21,7778.12,465370000.0,26089.61,26076.36,26162.28,25988.09,208020000.0,1344.5,1346.5,1362.2,1341.4,52.51,52.18,52.98,51.7,6,15,2019
2019-06-16,8841.44043,9335.867188,8814.556641,8994.488281,8994.488281,23348550311.0,268.901154,278.143188,265.535339,269.223206,269.223206,9676746453,0.003145,0.003336,0.003135,0.003186,0.003186,68789112,2887.0,2886.8,2894.4,2879.6,7796.66,7807.19,7819.21,7778.12,465370000.0,26089.61,26076.36,26162.28,25988.09,208020000.0,1344.5,1346.5,1362.2,1341.4,52.51,52.18,52.98,51.7,6,16,2019
2019-06-17,8988.923828,9416.407227,8988.923828,9320.352539,9320.352539,15562951919.0,269.090576,275.442566,268.35379,274.351105,274.351105,6009795781,0.003188,0.003225,0.003125,0.00319,0.00319,60386666,2889.7,2889.8,2897.3,2887.3,7845.02,7819.43,7865.98,7812.61,502920000.0,26112.53,26108.53,26165.78,26049.8,199500000.0,1342.9,1345.5,1347.1,1336.6,51.93,52.5,52.74,51.58,6,17,2019
2019-06-18,9335.466797,9348.374023,9004.901367,9081.762695,9081.762695,15848210536.0,274.320251,274.320251,263.14444,265.051849,265.051849,6205242504,0.003193,0.003199,0.00311,0.003125,0.003125,54908991,2917.8,2906.7,2930.8,2905.4,7953.88,7920.98,8005.21,7911.67,567690000.0,26465.54,26228.88,26527.19,26227.76,273490000.0,1350.7,1343.9,1358.5,1342.1,53.9,51.95,54.31,51.5,6,18,2019
2019-06-19,9078.727539,9299.621094,9070.395508,9273.521484,9273.521484,15546809946.0,265.056854,270.333374,264.754791,269.431793,269.431793,5516510947,0.003123,0.003154,0.003097,0.00313,0.00313,35562598,2926.5,2920.6,2931.7,2911.4,7987.32,7970.26,7998.59,7930.38,536800000.0,26504.0,26490.16,26569.75,26415.05,240950000.0,1348.8,1350.4,1366.6,1344.8,53.76,54.09,54.42,53.28,6,19,2019
2019-06-20,9273.060547,9594.419922,9232.484375,9527.160156,9527.160156,17846823784.0,269.407867,274.073517,265.500458,271.695007,271.695007,6408981097,0.003143,0.003204,0.003095,0.003161,0.003161,36102126,2954.2,2949.6,2958.1,2931.5,8051.34,8087.45,8088.88,7996.87,528690000.0,26753.17,26665.38,26798.63,26539.69,278170000.0,1396.9,1364.5,1397.7,1361.3,56.65,54.12,57.02,54.11,6,20,2019
2019-06-21,9525.074219,10144.55664,9525.074219,10144.55664,10144.55664,20624008643.0,271.743103,295.303314,271.743103,294.910278,294.910278,9331694140,0.003167,0.003251,0.003128,0.003223,0.003223,42423841,2950.5,2952.7,2964.2,2946.9,8031.71,8028.69,8073.02,8011.2,1200000000.0,26719.13,26749.12,26907.37,26705.87,485560000.0,1400.1,1391.2,1415.4,1386.1,57.43,57.26,57.98,56.66,6,21,2019
